Monthly data for lake:, mic,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,57.22,29.05,33.48,58.06,98.68,124.57,56.95,145.38,50.62,64.36,84.12,40
1941,52.41,38.56,36.54,58.68,83.51,51.55,60.95,84.57,157.41,152.65,67.66,40.38
1942,41.84,25.62,84.6,36.31,126.07,90.7,83.51,54.1,131.96,58.92,66.59,77.01
1943,55.07,41.22,71.41,51.59,106.62,110.36,62.43,85.09,35.66,47.21,71.36,16.88
1944,28.08,42.77,67.54,65.2,68.38,101.77,64.61,60.12,101.9,26.14,66.23,36.53
1945,24.13,47.24,37.33,86.62,125.19,115.53,61.15,101.14,130.42,50.29,90.86,44.74
1946,58.12,33.28,53.95,23.06,79.4,91.52,39.77,55.84,62.87,47.01,69.37,58.25
1947,48.24,40.15,36.88,122.77,125.07,78.65,68.94,56.51,111.46,25.39,62.51,33.72
1948,39.02,49.79,91.45,69.2,76.18,74.8,57.43,44.03,44.54,29.78,95.6,52.04
1949,69.83,54.53,58.03,37.98,63.74,97.07,99.99,48.96,60.94,48.76,65.42,64.74
1950,78.99,52.56,62.67,105.41,36.68,108.93,108.23,61.79,62.61,39.02,63.2,61.89
1951,45.92,45.24,82.53,94.7,61.62,68.51,111.91,80.94,84.49,123.04,72.81,61.11
1952,62.2,17.33,68.22,59.4,79.48,73.42,165.31,81.35,32.83,13.61,75.68,51.23
1953,42.32,67.42,47.81,86.84,66.37,92.48,77.2,64.1,53.97,28.43,33.69,57.41
1954,37.69,49.7,61.45,115.5,62.35,152.32,88.76,63.02,103.89,138.02,36.74,46.37
1955,32.94,35.26,47.79,63.86,67.37,71.98,52.31,57.71,36.87,95.28,53.1,31.99
1956,14.69,28.66,48.81,80.74,93.69,58.66,103.98,86.31,33.02,14.41,55.33,32.68
1957,32.7,27.31,36.68,80.02,106.36,83.75,71.14,79.03,46.59,58.69,92.36,54.66
1958,30.96,25.93,15.21,56.53,41.55,73.96,74.89,85.64,87.63,53.98,66.45,26.69
1959,49.34,49.79,64.37,81.63,73.92,32.7,84.55,132.55,101.88,131.15,63.55,65.97
1960,65.37,59.26,39.38,91.38,125.65,98.83,95.13,101.18,86.43,58.98,63.6,20.28
1961,17.97,28.04,68.65,66.9,36.46,80.3,77.77,58.15,185.52,75.94,67.92,44.94
1962,69.52,48.68,32.73,45.74,54.91,62.14,74.51,84.36,69.39,61.34,25.88,47.1
1963,34.01,22.64,63.43,54.45,72.26,46.05,82.98,65.69,71.52,25.82,67.86,50.87
1964,38.75,16.29,56.08,93.55,77.95,40.63,100.89,89.32,107.83,24.04,67.4,41.27
1965,68.78,41.79,55.31,81.05,72.36,59.66,61.27,113.8,191.46,63.24,70.29,75.33
1966,46.25,45.32,73.08,71.65,52.37,49.96,64.45,78.03,42.18,52.38,107.04,61.42
1967,69.01,48.12,35.1,107.36,51.98,139.79,45.3,69.82,51.02,106.67,61.58,56.97
1968,38.63,42.57,18.54,81.65,76.41,128.29,67.4,72.18,102.38,51.65,67.53,92.01
1969,72.7,9.96,33.79,83.13,73.19,180.84,90.53,21.24,63.62,130.4,46.47,36.98
1970,43.93,19.87,48.23,67.1,99.98,64.74,80.74,37.44,170.14,74.52,72.16,56.84
1971,56.03,62.51,50.27,30.34,58.8,64.33,81,63.48,64.44,52.5,65.06,110.5
1972,29.35,31.52,62.98,63.07,51.78,81.44,97.66,152.2,134.14,67.41,44.03,80.05
1973,33.96,39.82,58.89,110.22,117.51,87.41,74.35,75.85,82.31,83.79,66.99,80.25
